age,balance,marital,job,education,housing,loan,month,day,campaign,duration,deposit
49,64,0,3,1,1,0,1,11,1,586,0
35,164,2,5,3,1,0,1,11,2,967,0
36,1766,0,6,0,1,0,1,11,2,595,0
40,1248,1,0,1,1,0,1,11,2,1290,0
55,0,0,5,0,1,0,1,12,2,614,0
58,826,0,0,0,1,0,1,12,1,885,0
39,2630,0,10,1,1,0,1,12,5,651,0
47,3727,1,8,1,1,0,1,12,6,993,0
40,406,0,3,0,0,0,1,12,2,577,0
35,2999,0,5,1,1,0,1,12,6,1141,0
48,1000,0,5,0,0,0,1,12,2,1268,0
48,503,2,3,1,1,1,1,12,7,1243,0
24,-203,1,5,0,0,0,1,12,3,465,0
49,361,0,5,2,0,0,1,16,2,513,0
36,274,0,5,0,0,0,1,16,11,686,0
52,3687,2,4,1,0,1,1,16,4,741,0
42,323,1,7,3,1,0,1,16,1,617,0
36,981,0,2,0,1,0,1,16,1,1093,0
36,638,2,5,0,0,0,1,16,2,1395,0
48,3229,1,6,1,1,0,1,16,1,1089,0
51,1610,1,3,0,0,0,1,16,3,1248,0
51,33,0,5,0,1,1,1,16,3,721,0
46,536,0,1,0,0,0,1,16,2,750,0
37,0,0,3,1,1,0,1,16,6,637,0
36,3057,0,7,1,1,0,1,16,4,2769,0
47,2892,0,3,0,1,0,1,17,1,556,0
40,0,2,1,1,1,0,1,17,1,522,0
38,3316,1,11,1,1,0,1,17,3,1345,0
40,106,0,3,0,1,0,1,17,2,676,0
39,2303,0,5,2,0,0,1,17,3,775,0
60,3301,0,3,1,1,0,1,17,3,2621,0
39,426,1,10,1,1,0,1,18,1,1029,0
51,9,2,2,0,1,0,1,18,2,371,0
27,-97,0,0,0,0,0,1,18,2,1528,0
41,11008,1,3,1,1,0,1,18,1,1540,0
42,4930,1,5,2,1,0,1,18,1,973,0
41,707,0,7,0,1,0,1,18,1,707,0
33,4,0,1,0,0,1,1,18,2,625,0
46,126,0,0,0,1,0,1,18,1,1255,0
31,671,0,5,0,0,0,1,18,4,704,0
41,219,0,5,2,1,1,1,18,3,1574,0
41,3622,2,5,0,1,0,1,19,4,1135,0
55,1580,2,4,0,1,1,1,19,1,1007,0
53,1319,0,1,0,1,0,1,19,3,1318,0
55,2152,0,8,2,1,0,1,19,2,922,0
39,2843,0,2,0,0,0,1,19,1,585,0
40,0,0,7,1,1,0,1,19,4,952,0
59,1115,0,4,2,1,0,1,19,1,834,0
42,625,1,5,0,1,0,1,19,3,651,0
41,246,0,5,2,1,0,1,19,3,683,0
27,61,0,5,0,0,0,1,19,1,1012,0
25,-191,1,5,0,0,0,1,19,7,958,0
43,519,0,6,2,1,0,1,20,2,973,0
44,522,0,2,0,1,1,1,20,1,911,0
26,-46,1,5,0,0,0,1,20,7,382,0
52,2269,0,4,1,1,0,1,20,1,1210,0
54,386,0,2,3,1,1,1,20,1,838,0
56,0,0,3,1,1,1,1,20,1,422,0
57,9103,0,3,1,1,1,1,20,2,1098,0
29,908,1,5,0,0,0,1,20,1,1663,0
47,1694,0,1,1,1,1,1,20,3,560,0
57,-92,0,3,1,0,1,1,20,1,1617,0
40,188,0,5,0,0,1,1,20,2,570,0
46,0,2,2,0,1,0,1,20,3,1023,0
43,740,1,5,0,0,0,1,20,2,585,0
45,655,0,3,1,1,0,1,20,3,693,0
24,867,0,3,0,0,0,1,20,10,546,0
40,1009,0,5,0,0,1,1,20,5,1036,0
38,6360,2,2,3,1,0,1,20,2,1409,0
36,4145,0,6,1,1,0,1,20,4,988,0
27,-27,1,5,0,1,0,1,23,2,498,0
26,-122,1,0,2,0,0,1,23,3,670,0
43,149,0,3,1,0,0,1,23,2,662,0
25,52,1,5,2,0,0,1,24,2,528,0
27,335,0,5,1,0,0,1,26,3,519,0
30,526,0,1,1,0,1,1,26,3,677,0
28,-7,1,0,0,1,1,1,26,2,3183,0
27,-413,0,5,2,1,1,1,27,6,422,0
32,-241,2,0,0,1,1,1,27,2,856,0
41,75,1,5,0,0,0,2,1,9,479,0
37,0,1,1,1,1,0,2,1,2,1135,0
27,158,1,1,0,1,0,2,1,2,650,0
29,84,1,2,0,1,1,2,3,3,587,0
33,114,0,2,0,1,1,2,3,1,676,0
36,0,0,1,2,1,0,2,4,1,584,0
28,-127,1,5,0,0,0,2,4,3,1044,0
55,49,0,5,0,0,0,2,7,4,494,0
51,216,0,1,0,1,0,2,7,2,615,0
39,506,1,1,0,0,0,2,7,2,718,0
42,213,2,5,2,0,0,2,7,3,434,0
33,170,1,2,0,1,0,2,7,1,782,0
36,776,2,7,1,1,1,2,7,3,722,0
45,879,0,1,0,1,0,2,7,2,621,0
37,1633,0,10,0,1,0,2,7,2,629,0
46,926,0,6,0,1,0,2,7,5,385,0
32,2559,1,10,1,1,0,2,7,1,889,0
28,909,1,1,0,1,1,2,7,1,532,0
45,-176,2,0,0,1,1,2,7,1,574,0
41,1085,1,5,0,0,1,2,7,1,599,0
59,1265,2,5,2,1,1,2,7,1,849,0
47,-239,1,1,0,0,1,2,7,3,973,0
31,726,1,5,0,1,0,2,7,2,719,0
31,296,1,3,1,1,1,2,8,4,509,0
33,-627,0,7,0,0,1,2,8,1,740,0
52,-468,0,7,1,1,0,2,8,1,534,0
26,551,1,10,0,1,0,2,8,1,531,0
25,0,1,1,0,1,1,2,8,1,634,0
25,101,0,5,0,1,1,2,8,3,460,0
28,517,1,5,0,1,1,2,8,1,681,0
33,37,2,7,1,1,1,2,8,1,1082,0
45,854,2,3,1,1,1,2,8,1,730,0
36,30,0,2,0,1,1,2,8,5,716,0
26,81,1,5,0,1,1,2,8,2,803,0
38,0,0,1,0,1,0,2,8,1,635,0
56,663,1,5,0,1,1,2,8,3,819,0
26,102,1,0,0,1,1,2,8,2,658,0
26,370,0,1,0,1,1,2,8,4,1061,0
25,189,1,5,0,1,1,2,8,2,687,0
26,111,1,6,0,1,0,2,9,1,537,0
40,665,0,5,2,0,0,2,9,1,781,0
37,214,0,0,2,0,0,2,9,1,645,0
43,0,1,5,2,1,0,2,9,1,1242,0
41,1583,2,2,1,0,0,2,9,1,662,0
49,0,0,5,0,1,1,2,9,1,625,0
29,0,2,0,1,1,1,2,9,3,426,0
39,687,2,2,0,0,0,2,9,1,869,0
38,327,0,3,1,0,1,2,9,5,556,0
26,-119,0,1,0,1,1,2,9,5,359,0
32,794,0,3,1,0,1,2,9,1,1014,0
33,-191,0,5,2,0,1,2,9,4,1290,0
31,409,1,3,1,1,1,2,9,5,564,0
49,3,0,5,2,1,1,2,9,6,1439,0
27,9,1,6,2,1,1,2,9,2,919,0
30,155,1,5,0,0,1,2,9,3,1426,0
35,1330,0,5,0,1,0,2,10,1,901,0
26,-29,1,5,0,0,0,2,10,4,998,0
45,3133,0,7,3,0,1,2,10,1,804,0
34,-33,0,0,0,0,1,2,10,1,961,0
28,-170,1,0,0,1,1,2,10,2,720,0
25,1243,1,5,0,1,1,2,10,7,1341,0
30,1598,1,5,0,0,0,2,10,1,634,0
30,5,0,2,0,1,1,2,10,5,829,0
47,367,0,2,0,0,0,2,10,4,476,0
57,658,2,0,0,1,0,2,10,1,724,0
38,1722,0,3,1,0,0,2,10,1,500,0
54,-315,0,1,0,1,1,2,10,1,2029,0
25,2483,1,5,2,1,0,2,10,3,1499,0
30,0,0,5,0,0,1,2,10,1,1399,0
26,45,1,3,1,1,0,2,10,3,1187,0
31,46,0,11,2,0,0,2,10,1,487,0
29,482,1,5,0,1,1,2,10,3,1097,0
49,3728,0,5,0,0,0,2,11,2,1060,0
60,1099,2,4,0,1,0,2,11,2,764,0
60,2222,0,3,1,0,0,2,11,2,1120,0
29,983,1,3,1,0,0,2,11,2,963,0
55,204,2,3,0,0,0,2,11,2,1973,0
44,1074,0,0,0,0,0,2,11,2,911,0
47,3466,0,1,0,0,0,2,11,2,853,0
35,-203,0,0,0,0,0,2,11,2,1649,0
35,2436,0,7,0,1,1,2,14,3,1397,0
38,976,0,1,0,0,0,2,14,3,766,0
34,146,0,7,1,0,0,2,14,2,788,0
50,156,0,1,0,1,1,2,14,3,1130,0
43,189,0,0,1,0,0,2,14,4,1062,0
44,163,2,0,0,0,0,2,14,2,1669,0
51,242,2,2,0,1,1,2,14,4,1336,0
31,1173,0,1,0,0,0,2,14,3,444,0
39,0,0,1,1,0,0,2,14,7,894,0
59,296,0,3,1,1,1,2,15,3,805,0
25,333,1,2,0,1,1,2,15,2,1056,0
58,3864,0,3,1,0,0,2,15,4,815,0
30,2686,0,7,2,0,0,2,15,3,808,0
34,-109,1,5,2,0,0,2,15,4,860,0
51,65,2,2,0,1,1,2,15,1,881,0
60,597,0,4,0,1,0,2,15,1,981,0
51,-799,0,7,0,1,1,2,15,3,1001,0
37,1775,2,3,1,1,0,2,15,5,514,0
30,0,1,5,2,1,0,2,15,3,716,0
46,-563,2,7,0,1,1,2,15,4,769,0
29,5,1,11,1,1,0,2,15,5,889,0
27,139,0,7,1,1,0,2,15,5,448,0
28,0,1,3,1,0,0,2,16,5,767,0
34,855,1,5,0,0,0,2,16,1,578,0
29,694,1,5,3,0,1,2,16,4,1806,0
27,151,1,3,1,0,0,2,16,1,496,0
26,354,1,1,0,1,0,2,16,1,586,0
36,673,0,3,1,0,0,2,16,1,689,0
44,1265,0,5,2,0,0,2,16,1,555,0
39,597,0,5,1,1,0,2,16,6,686,0
30,-393,0,1,0,0,1,2,16,1,435,0
31,256,2,6,1,0,0,2,16,2,873,0
56,0,0,5,2,0,0,2,16,1,1222,0
29,2870,0,5,0,0,0,2,16,1,988,0
43,184,0,5,0,1,1,2,16,11,1019,0
32,1905,0,5,0,0,0,2,16,2,709,0
30,-36,1,0,0,1,0,2,16,9,561,0
40,-839,0,5,0,0,1,2,16,2,1018,0
42,3465,0,2,0,0,1,2,16,2,1039,0
27,119,0,11,0,0,0,2,16,2,781,0
35,36,0,3,1,1,1,2,16,5,1656,0
35,113,0,8,2,0,0,2,17,2,923,0
32,118,1,5,0,0,0,2,17,1,1275,0
39,251,0,1,0,0,0,2,17,2,342,0
31,-277,2,5,0,0,0,2,17,2,1008,0
26,-189,1,2,0,1,1,2,17,2,538,0
42,4,0,3,1,0,0,2,17,1,795,0
27,1820,1,2,0,0,0,2,17,1,1027,0
33,1904,2,10,0,0,0,2,17,2,1584,0
51,201,0,5,2,0,0,2,17,2,582,0
33,0,0,0,0,0,0,2,17,7,1448,0
30,178,1,1,1,1,0,2,17,3,656,0
52,3798,0,8,2,0,0,2,17,1,1208,0
42,301,2,5,2,0,0,2,17,2,1175,0
31,294,2,3,1,0,0,2,17,5,536,0
27,0,0,2,0,0,0,2,17,5,991,0
44,292,1,5,0,1,1,2,17,4,1153,0
40,2998,2,7,0,0,0,2,18,3,623,0
46,2084,2,8,2,0,0,2,18,2,1081,0
32,454,2,2,0,0,0,2,18,1,978,0
56,179,2,1,0,1,0,2,18,1,536,0
33,661,0,5,0,0,0,2,18,1,968,0
33,89,0,5,0,0,0,2,18,2,278,0
32,102,0,10,2,0,0,2,18,1,560,0
41,138,2,5,2,0,0,2,18,3,640,0
31,622,1,0,0,1,0,2,18,1,420,0
30,10,2,0,0,0,0,2,18,2,658,0
34,-251,2,0,0,1,0,2,18,1,641,0
43,104,0,7,0,0,0,2,18,3,635,0
28,173,0,5,0,1,0,2,18,7,588,0
32,-46,2,0,0,1,1,2,18,4,1373,0
31,0,2,5,0,0,1,2,18,4,913,0
35,145,1,7,1,0,0,2,18,2,799,0
31,325,0,3,1,0,0,2,18,2,1139,0
25,2311,1,2,0,1,1,2,21,2,1105,0
56,158,2,4,1,1,1,2,21,1,854,0
47,1981,0,1,0,0,0,2,21,2,919,0
39,1423,0,3,1,0,0,2,21,3,733,0
51,2455,0,3,1,0,0,2,21,1,553,0
54,859,2,1,0,1,1,2,21,1,710,0
58,9004,0,4,3,1,0,2,21,4,891,0
42,970,0,6,3,0,0,2,21,10,691,0
56,486,0,2,2,1,1,2,21,1,1877,0
55,127,0,8,0,0,0,2,21,8,1130,0
26,409,1,5,2,0,0,2,21,2,577,0
40,664,1,0,0,1,0,2,21,2,1342,0
26,223,1,1,0,1,1,2,21,3,1002,0
35,-324,1,3,1,1,1,2,21,11,985,0
34,-30,1,2,0,1,0,2,21,3,1360,0
41,1253,1,3,1,1,0,2,21,5,1134,0
44,4758,0,3,2,0,0,2,22,6,712,0
33,30,1,3,1,0,0,2,22,1,1077,0
36,81,2,3,1,1,1,2,22,1,560,0
38,0,0,1,0,0,0,2,22,1,1545,0
35,328,0,1,1,0,0,2,22,2,654,0
41,145,1,1,1,1,0,2,22,2,1833,0
41,465,2,3,3,0,0,2,22,1,1508,0
28,751,0,5,0,0,0,2,22,5,598,0
26,-379,0,2,0,0,1,2,22,7,1237,0
39,0,1,5,0,1,0,2,22,4,864,0
25,349,0,0,3,0,0,2,22,8,1037,0
37,1110,0,0,0,0,0,2,22,11,802,0
25,2228,0,3,0,0,0,2,23,1,754,0
46,2166,2,3,1,0,0,2,23,1,870,0
25,-247,1,5,0,0,0,2,23,1,633,0
28,-123,1,1,1,1,1,2,23,1,690,0
33,44,2,2,0,1,1,2,23,1,529,0
32,131,1,3,0,0,1,2,23,2,1152,0
32,476,0,5,0,0,0,2,23,9,956,0
47,1101,1,1,0,0,0,2,23,3,957,0
50,-168,0,7,1,0,0,2,23,2,1327,0
27,-392,0,1,0,0,0,2,23,2,228,0
45,524,0,0,0,0,0,2,23,1,808,0
51,895,1,0,0,1,0,2,23,2,638,0
36,212,0,0,0,0,1,2,23,6,1201,0
51,95,0,10,0,0,0,2,23,4,1309,0
33,395,1,2,1,0,0,2,23,6,1359,0
59,135,0,1,0,0,1,2,23,4,416,0
38,0,0,7,1,1,0,2,23,2,532,0
40,471,0,2,0,0,0,2,24,4,430,0
51,603,0,5,2,0,0,2,24,2,853,0
41,663,1,7,0,1,0,2,24,1,1204,0
